state,response,coverage,education,effective_to_date_(month),employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
California,No,Extended,Bachelor,feb/2011,Employed,F,Suburban,Married,Personal L2,Offer1,Agent,Four-Door Car,Small
Oregon,No,Basic,High School or Below,feb/2011,Employed,F,Rural,Single,Personal L3,Offer2,Web,Two-Door Car,Medsize
Oregon,No,Extended,Bachelor,feb/2011,Employed,M,Rural,Single,Personal L1,Offer3,Agent,SUV,Medsize
California,Yes,Extended,Doctor,feb/2011,Employed,M,Rural,Divorced,Personal L3,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,feb/2011,Unemployed,F,Suburban,Single,Personal L3,Offer1,Agent,Two-Door Car,Medsize
California,Yes,Basic,Doctor,jan/2011,Employed,M,Suburban,Married,Personal L1,Offer1,Agent,SUV,Large
Nevada,No,Extended,High School or Below,feb/2011,Employed,M,Suburban,Single,Personal L2,Offer1,Web,Four-Door Car,Small
Arizona,No,Basic,College,feb/2011,Employed,F,Urban,Married,Personal L2,Offer3,Web,Two-Door Car,Medsize
Oregon,No,Premium,Bachelor,jan/2011,Unemployed,F,Suburban,Married,Personal L2,Offer1,Branch,Four-Door Car,Small
California,No,Basic,College,jan/2011,Employed,F,Suburban,Married,Personal L2,Offer4,Call Center,Four-Door Car,Medsize
California,No,Basic,High School or Below,jan/2011,Unemployed,F,Suburban,Married,Personal L1,Offer1,Web,SUV,Medsize
Nevada,Yes,Basic,High School or Below,feb/2011,Medical Leave,M,Suburban,Single,Corporate L3,Offer1,Call Center,SUV,Medsize
California,Yes,Basic,College,feb/2011,Unemployed,F,Suburban,Divorced,Corporate L3,Offer1,Agent,SUV,Medsize
Arizona,No,Basic,Bachelor,jan/2011,Unemployed,F,Suburban,Single,Personal L3,Offer1,Web,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,jan/2011,Employed,M,Suburban,Married,Personal L2,Offer2,Agent,Four-Door Car,Large
Oregon,No,Basic,College,jan/2011,Medical Leave,M,Suburban,Married,Corporate L2,Offer1,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,feb/2011,Employed,M,Suburban,Married,Corporate L3,Offer1,Call Center,Sports Car,Small
Oregon,Yes,Basic,High School or Below,feb/2011,Medical Leave,M,Suburban,Single,Personal L2,Offer1,Call Center,SUV,Medsize
California,No,Basic,High School or Below,feb/2011,Employed,F,Rural,Married,Personal L2,Offer1,Agent,Sports Car,Medsize
Oregon,Yes,Premium,Bachelor,jan/2011,Retired,F,Suburban,Married,Personal L3,Offer1,Agent,Luxury SUV,Medsize
California,No,Extended,College,feb/2011,Employed,F,Suburban,Married,Personal L3,Offer2,Call Center,Two-Door Car,Large
Oregon,No,Basic,College,jan/2011,Employed,M,Suburban,Single,Personal L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,feb/2011,Medical Leave,F,Suburban,Married,Personal L3,Offer4,Branch,SUV,Medsize
Nevada,No,Basic,College,jan/2011,Employed,M,Suburban,Married,Personal L2,Offer2,Agent,Four-Door Car,Small
Nevada,No,Basic,College,feb/2011,Retired,F,Suburban,Single,Corporate L3,Offer3,Branch,SUV,Medsize
Washington,No,Basic,Bachelor,feb/2011,Unemployed,F,Suburban,Single,Personal L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Basic,College,jan/2011,Unemployed,M,Suburban,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Extended,Bachelor,feb/2011,Unemployed,F,Suburban,Single,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,No,Extended,College,jan/2011,Employed,M,Urban,Married,Personal L1,Offer1,Branch,Sports Car,Medsize
Oregon,No,Basic,High School or Below,jan/2011,Unemployed,M,Suburban,Married,Special L3,Offer2,Call Center,SUV,Medsize
Arizona,No,Basic,Bachelor,feb/2011,Employed,F,Suburban,Married,Personal L1,Offer2,Agent,SUV,Medsize
Arizona,No,Basic,High School or Below,feb/2011,Employed,M,Suburban,Married,Personal L2,Offer3,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,feb/2011,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,jan/2011,Unemployed,M,Suburban,Divorced,Special L2,Offer2,Agent,Four-Door Car,Large
Oregon,No,Basic,High School or Below,feb/2011,Unemployed,M,Suburban,Single,Personal L3,Offer4,Branch,Four-Door Car,Medsize
Oregon,Yes,Basic,College,jan/2011,Retired,M,Suburban,Married,Corporate L2,Offer2,Agent,Sports Car,Medsize
Washington,No,Extended,High School or Below,feb/2011,Employed,M,Rural,Divorced,Personal L1,Offer1,Call Center,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,jan/2011,Employed,M,Suburban,Divorced,Personal L3,Offer2,Call Center,Two-Door Car,Small
Oregon,No,Basic,College,feb/2011,Employed,F,Suburban,Married,Personal L2,Offer1,Branch,SUV,Medsize
Arizona,No,Basic,Master,feb/2011,Employed,F,Suburban,Married,Personal L2,Offer2,Web,Two-Door Car,Medsize
Oregon,No,Extended,Bachelor,jan/2011,Employed,F,Rural,Married,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,feb/2011,Employed,F,Rural,Married,Personal L1,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Extended,College,jan/2011,Employed,F,Suburban,Divorced,Personal L2,Offer1,Call Center,Four-Door Car,Medsize
Oregon,Yes,Extended,College,feb/2011,Employed,F,Suburban,Married,Corporate L2,Offer1,Branch,Luxury Car,Small
Oregon,No,Premium,Bachelor,feb/2011,Unemployed,M,Suburban,Married,Corporate L3,Offer1,Web,Two-Door Car,Medsize
Nevada,No,Basic,High School or Below,feb/2011,Employed,F,Suburban,Single,Personal L3,Offer1,Branch,Four-Door Car,Small
Washington,No,Extended,College,feb/2011,Employed,M,Urban,Single,Personal L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,feb/2011,Unemployed,F,Suburban,Married,Special L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,jan/2011,Employed,F,Suburban,Married,Personal L3,Offer2,Agent,Four-Door Car,Large
California,No,Basic,High School or Below,jan/2011,Employed,M,Rural,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,jan/2011,Disabled,M,Suburban,Married,Personal L3,Offer1,Branch,SUV,Small
Oregon,No,Extended,High School or Below,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer2,Agent,Four-Door Car,Large
Oregon,No,Extended,Master,feb/2011,Employed,F,Rural,Married,Corporate L2,Offer2,Agent,Four-Door Car,Medsize
California,No,Extended,Bachelor,feb/2011,Unemployed,F,Suburban,Single,Personal L3,Offer2,Call Center,Four-Door Car,Small
Oregon,No,Basic,Bachelor,feb/2011,Unemployed,F,Suburban,Married,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,High School or Below,jan/2011,Unemployed,F,Suburban,Single,Personal L3,Offer3,Agent,SUV,Medsize
Arizona,No,Extended,College,jan/2011,Employed,M,Suburban,Divorced,Corporate L3,Offer4,Branch,Two-Door Car,Medsize
Arizona,No,Basic,College,feb/2011,Employed,M,Suburban,Married,Personal L1,Offer3,Call Center,Two-Door Car,Medsize
Arizona,No,Basic,College,feb/2011,Medical Leave,F,Rural,Married,Personal L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,jan/2011,Employed,F,Suburban,Married,Personal L3,Offer2,Branch,Four-Door Car,Small
Arizona,No,Basic,College,feb/2011,Unemployed,M,Rural,Married,Personal L3,Offer2,Agent,Four-Door Car,Medsize
California,Yes,Basic,High School or Below,feb/2011,Retired,F,Suburban,Single,Corporate L1,Offer1,Agent,SUV,Medsize
Nevada,No,Basic,High School or Below,jan/2011,Medical Leave,M,Suburban,Married,Personal L1,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Extended,Master,jan/2011,Employed,F,Urban,Married,Personal L3,Offer2,Agent,Two-Door Car,Medsize
California,No,Extended,High School or Below,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer3,Branch,Four-Door Car,Small
Oregon,No,Premium,High School or Below,feb/2011,Disabled,F,Suburban,Married,Personal L3,Offer3,Web,Four-Door Car,Small
Arizona,No,Extended,High School or Below,feb/2011,Employed,F,Suburban,Married,Special L3,Offer2,Call Center,Four-Door Car,Medsize
California,No,Premium,High School or Below,jan/2011,Employed,M,Urban,Single,Personal L2,Offer1,Branch,SUV,Medsize
Oregon,No,Basic,Master,feb/2011,Employed,F,Rural,Married,Personal L3,Offer2,Branch,Luxury SUV,Small
Washington,Yes,Basic,High School or Below,jan/2011,Employed,M,Suburban,Married,Personal L2,Offer2,Branch,SUV,Medsize
California,No,Premium,College,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer2,Agent,Sports Car,Medsize
California,No,Basic,High School or Below,feb/2011,Employed,F,Rural,Married,Personal L3,Offer2,Agent,Luxury SUV,Medsize
California,No,Premium,College,jan/2011,Employed,F,Rural,Divorced,Corporate L3,Offer1,Agent,SUV,Medsize
California,No,Basic,Bachelor,jan/2011,Unemployed,M,Suburban,Single,Personal L3,Offer2,Agent,SUV,Medsize
Oregon,No,Basic,Bachelor,feb/2011,Employed,M,Suburban,Married,Personal L3,Offer2,Agent,SUV,Medsize
Arizona,No,Basic,College,feb/2011,Unemployed,M,Suburban,Single,Corporate L3,Offer2,Web,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,feb/2011,Employed,M,Rural,Divorced,Personal L2,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Doctor,feb/2011,Employed,F,Urban,Married,Personal L1,Offer3,Branch,Two-Door Car,Medsize
Oregon,No,Basic,High School or Below,feb/2011,Unemployed,M,Suburban,Married,Personal L3,Offer1,Agent,Two-Door Car,Medsize
California,No,Premium,High School or Below,feb/2011,Unemployed,M,Suburban,Single,Personal L3,Offer1,Web,Four-Door Car,Medsize
Oregon,No,Basic,College,feb/2011,Employed,M,Urban,Married,Personal L1,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,feb/2011,Employed,M,Suburban,Divorced,Corporate L1,Offer4,Agent,Four-Door Car,Large
California,No,Extended,High School or Below,feb/2011,Unemployed,M,Suburban,Married,Personal L3,Offer3,Branch,SUV,Medsize
Oregon,No,Extended,Bachelor,feb/2011,Employed,F,Suburban,Married,Special L2,Offer1,Branch,SUV,Large
Washington,No,Premium,Master,jan/2011,Unemployed,M,Suburban,Single,Personal L3,Offer1,Call Center,SUV,Medsize
California,Yes,Basic,Bachelor,jan/2011,Employed,M,Suburban,Married,Corporate L1,Offer2,Agent,Two-Door Car,Medsize
Oregon,No,Premium,Bachelor,jan/2011,Employed,F,Rural,Married,Personal L1,Offer3,Web,Four-Door Car,Medsize
California,No,Extended,Bachelor,feb/2011,Employed,F,Urban,Married,Personal L3,Offer2,Web,SUV,Medsize
California,No,Basic,High School or Below,jan/2011,Retired,F,Suburban,Married,Personal L3,Offer2,Agent,Four-Door Car,Medsize
Oregon,No,Basic,College,feb/2011,Employed,F,Urban,Married,Corporate L1,Offer3,Branch,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,jan/2011,Employed,F,Suburban,Divorced,Special L1,Offer2,Web,Two-Door Car,Medsize
California,No,Basic,College,jan/2011,Retired,F,Suburban,Divorced,Personal L2,Offer3,Branch,Four-Door Car,Small
California,No,Basic,Master,feb/2011,Employed,F,Urban,Divorced,Personal L3,Offer1,Agent,SUV,Large
Arizona,No,Basic,College,jan/2011,Unemployed,F,Urban,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Washington,No,Basic,High School or Below,feb/2011,Employed,F,Urban,Divorced,Personal L3,Offer1,Agent,SUV,Small
Oregon,Yes,Basic,Doctor,jan/2011,Employed,M,Rural,Divorced,Corporate L1,Offer1,Agent,Four-Door Car,Large
California,No,Extended,High School or Below,jan/2011,Unemployed,M,Suburban,Married,Personal L2,Offer2,Web,Four-Door Car,Medsize
Oregon,No,Extended,College,feb/2011,Employed,M,Suburban,Married,Corporate L3,Offer2,Call Center,Sports Car,Medsize
Nevada,No,Basic,College,feb/2011,Unemployed,M,Suburban,Married,Personal L3,Offer1,Web,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,jan/2011,Unemployed,M,Suburban,Divorced,Personal L3,Offer3,Branch,SUV,Medsize
Arizona,No,Basic,Bachelor,feb/2011,Employed,M,Suburban,Married,Personal L1,Offer2,Branch,Four-Door Car,Medsize
Washington,No,Extended,College,feb/2011,Medical Leave,F,Urban,Married,Corporate L2,Offer3,Web,Two-Door Car,Medsize
Oregon,No,Extended,High School or Below,feb/2011,Unemployed,M,Suburban,Single,Personal L2,Offer3,Branch,Four-Door Car,Medsize
Arizona,No,Premium,Bachelor,feb/2011,Employed,M,Urban,Married,Personal L1,Offer1,Call Center,SUV,Large
California,No,Basic,College,jan/2011,Employed,F,Suburban,Married,Personal L2,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,jan/2011,Employed,F,Suburban,Married,Personal L1,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,feb/2011,Employed,M,Suburban,Married,Personal L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,jan/2011,Unemployed,F,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Premium,High School or Below,feb/2011,Employed,M,Rural,Married,Personal L3,Offer4,Agent,SUV,Medsize
Oregon,No,Basic,High School or Below,jan/2011,Employed,M,Urban,Single,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,Yes,Extended,Master,feb/2011,Employed,F,Suburban,Divorced,Personal L1,Offer2,Agent,Luxury SUV,Medsize
Washington,No,Extended,College,jan/2011,Employed,F,Rural,Married,Corporate L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,jan/2011,Employed,M,Suburban,Single,Corporate L2,Offer4,Call Center,Four-Door Car,Medsize
California,No,Basic,Bachelor,jan/2011,Unemployed,F,Suburban,Single,Personal L2,Offer4,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,College,jan/2011,Retired,F,Suburban,Divorced,Personal L2,Offer1,Agent,SUV,Small
Arizona,Yes,Basic,College,jan/2011,Unemployed,F,Suburban,Married,Personal L1,Offer2,Agent,Four-Door Car,Medsize
Oregon,Yes,Extended,College,jan/2011,Employed,M,Rural,Married,Personal L3,Offer2,Agent,Sports Car,Medsize
California,No,Extended,Doctor,jan/2011,Employed,F,Urban,Married,Personal L1,Offer2,Call Center,Four-Door Car,Small
California,Yes,Basic,Bachelor,jan/2011,Employed,M,Suburban,Single,Corporate L3,Offer1,Agent,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,feb/2011,Employed,M,Rural,Single,Personal L3,Offer3,Branch,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,feb/2011,Unemployed,M,Suburban,Single,Corporate L2,Offer1,Branch,Two-Door Car,Large
California,No,Extended,College,feb/2011,Retired,F,Suburban,Married,Personal L2,Offer4,Web,Four-Door Car,Medsize
California,No,Basic,College,jan/2011,Employed,F,Rural,Single,Personal L3,Offer1,Agent,Two-Door Car,Large
Nevada,No,Basic,High School or Below,feb/2011,Unemployed,F,Suburban,Single,Personal L3,Offer2,Branch,Four-Door Car,Small
Washington,No,Extended,Bachelor,feb/2011,Employed,F,Suburban,Married,Personal L1,Offer1,Web,Four-Door Car,Medsize
California,No,Extended,Doctor,jan/2011,Employed,F,Suburban,Married,Personal L1,Offer4,Agent,Two-Door Car,Small
California,No,Basic,Bachelor,feb/2011,Employed,F,Rural,Married,Personal L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,feb/2011,Unemployed,M,Urban,Married,Personal L3,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,feb/2011,Employed,M,Urban,Married,Personal L2,Offer2,Branch,Four-Door Car,Large
California,No,Basic,Bachelor,feb/2011,Employed,F,Urban,Single,Personal L1,Offer1,Agent,SUV,Small
California,No,Basic,High School or Below,feb/2011,Employed,M,Rural,Married,Corporate L3,Offer1,Branch,SUV,Medsize
Oregon,No,Extended,Doctor,feb/2011,Employed,F,Rural,Married,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,jan/2011,Employed,F,Suburban,Divorced,Personal L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Extended,Bachelor,feb/2011,Employed,F,Suburban,Married,Corporate L3,Offer1,Branch,Two-Door Car,Small
Arizona,No,Basic,High School or Below,jan/2011,Employed,M,Suburban,Married,Special L3,Offer3,Branch,Four-Door Car,Small
California,No,Extended,High School or Below,jan/2011,Unemployed,M,Suburban,Single,Personal L2,Offer3,Call Center,Four-Door Car,Large
California,No,Premium,Bachelor,feb/2011,Unemployed,F,Suburban,Married,Personal L1,Offer1,Web,Two-Door Car,Medsize
Arizona,No,Basic,College,jan/2011,Employed,M,Urban,Married,Personal L3,Offer2,Web,Four-Door Car,Medsize
California,Yes,Basic,Bachelor,feb/2011,Employed,F,Urban,Divorced,Corporate L2,Offer2,Web,Two-Door Car,Medsize
Oregon,No,Basic,College,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer1,Web,Four-Door Car,Small
Oregon,Yes,Extended,High School or Below,jan/2011,Employed,F,Suburban,Married,Personal L3,Offer1,Branch,SUV,Medsize
California,No,Premium,High School or Below,jan/2011,Employed,F,Suburban,Married,Corporate L3,Offer1,Branch,Two-Door Car,Large
Oregon,No,Extended,Bachelor,jan/2011,Medical Leave,F,Rural,Married,Personal L3,Offer1,Web,Two-Door Car,Large
California,No,Extended,High School or Below,feb/2011,Employed,F,Urban,Single,Special L3,Offer1,Agent,SUV,Medsize
California,Yes,Basic,High School or Below,feb/2011,Retired,M,Suburban,Married,Personal L3,Offer1,Web,Sports Car,Medsize
Washington,No,Premium,High School or Below,feb/2011,Employed,F,Suburban,Married,Corporate L3,Offer3,Branch,Two-Door Car,Small
Washington,No,Basic,Bachelor,jan/2011,Employed,M,Rural,Divorced,Personal L3,Offer1,Branch,Four-Door Car,Large
California,No,Basic,High School or Below,feb/2011,Employed,F,Rural,Married,Personal L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Extended,High School or Below,jan/2011,Employed,M,Rural,Married,Personal L2,Offer2,Agent,Four-Door Car,Medsize
Arizona,No,Basic,College,jan/2011,Employed,F,Suburban,Married,Personal L1,Offer3,Branch,SUV,Medsize
California,No,Extended,College,feb/2011,Employed,F,Suburban,Married,Personal L1,Offer1,Branch,Luxury SUV,Medsize
Oregon,Yes,Basic,College,feb/2011,Employed,M,Urban,Single,Personal L2,Offer2,Agent,Two-Door Car,Medsize
Washington,No,Premium,High School or Below,jan/2011,Employed,F,Suburban,Single,Personal L3,Offer2,Agent,Four-Door Car,Medsize
Washington,No,Extended,College,feb/2011,Retired,M,Suburban,Married,Personal L3,Offer3,Agent,Four-Door Car,Medsize
Arizona,No,Extended,College,feb/2011,Employed,M,Urban,Married,Personal L3,Offer2,Web,SUV,Medsize
California,Yes,Extended,High School or Below,feb/2011,Disabled,F,Suburban,Married,Personal L2,Offer1,Agent,Two-Door Car,Small
Washington,No,Extended,College,feb/2011,Employed,M,Suburban,Married,Personal L3,Offer3,Call Center,Four-Door Car,Medsize
California,No,Extended,College,feb/2011,Unemployed,F,Suburban,Single,Personal L2,Offer3,Agent,SUV,Medsize
Arizona,Yes,Basic,High School or Below,jan/2011,Employed,M,Rural,Married,Personal L2,Offer2,Agent,Two-Door Car,Medsize
Oregon,No,Extended,College,jan/2011,Medical Leave,F,Suburban,Married,Personal L2,Offer3,Call Center,Four-Door Car,Small
Washington,Yes,Extended,High School or Below,jan/2011,Unemployed,M,Suburban,Married,Corporate L1,Offer1,Agent,SUV,Medsize
Nevada,Yes,Extended,College,feb/2011,Retired,F,Suburban,Divorced,Personal L1,Offer1,Agent,Sports Car,Medsize
Arizona,No,Basic,High School or Below,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,jan/2011,Unemployed,M,Suburban,Married,Personal L3,Offer2,Web,Four-Door Car,Medsize
Oregon,No,Extended,High School or Below,jan/2011,Unemployed,M,Suburban,Married,Personal L3,Offer2,Call Center,Four-Door Car,Small
Oregon,Yes,Basic,Bachelor,jan/2011,Employed,M,Suburban,Married,Personal L3,Offer2,Call Center,Four-Door Car,Medsize
Oregon,No,Extended,Doctor,feb/2011,Employed,F,Suburban,Single,Personal L3,Offer2,Branch,Four-Door Car,Small
California,No,Extended,College,jan/2011,Employed,F,Urban,Divorced,Personal L2,Offer2,Branch,Two-Door Car,Medsize
California,No,Premium,High School or Below,jan/2011,Unemployed,F,Suburban,Single,Special L2,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Doctor,feb/2011,Employed,F,Rural,Married,Special L3,Offer2,Web,SUV,Medsize
Nevada,No,Basic,Master,jan/2011,Disabled,F,Rural,Married,Personal L1,Offer3,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,feb/2011,Employed,F,Suburban,Married,Corporate L3,Offer3,Agent,Two-Door Car,Medsize
Oregon,No,Basic,College,jan/2011,Unemployed,F,Suburban,Single,Personal L3,Offer3,Branch,SUV,Small
Nevada,No,Basic,High School or Below,feb/2011,Employed,M,Suburban,Married,Personal L2,Offer2,Call Center,SUV,Small
California,No,Basic,High School or Below,feb/2011,Unemployed,M,Suburban,Single,Corporate L2,Offer3,Web,Four-Door Car,Medsize
California,No,Premium,College,feb/2011,Disabled,M,Urban,Married,Corporate L3,Offer1,Call Center,Four-Door Car,Large
Arizona,No,Extended,Bachelor,feb/2011,Employed,M,Suburban,Married,Personal L1,Offer1,Agent,Two-Door Car,Small
Oregon,Yes,Basic,High School or Below,jan/2011,Employed,M,Suburban,Single,Personal L1,Offer2,Web,SUV,Medsize
Nevada,No,Basic,Bachelor,feb/2011,Employed,F,Suburban,Married,Personal L3,Offer4,Agent,Two-Door Car,Medsize
Oregon,No,Extended,High School or Below,jan/2011,Employed,F,Urban,Single,Personal L2,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,College,jan/2011,Employed,F,Suburban,Divorced,Corporate L1,Offer1,Branch,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,jan/2011,Unemployed,F,Suburban,Married,Corporate L1,Offer4,Agent,Four-Door Car,Medsize
Oregon,Yes,Extended,High School or Below,feb/2011,Disabled,F,Suburban,Married,Personal L1,Offer1,Agent,Two-Door Car,Small
Washington,No,Extended,Bachelor,jan/2011,Unemployed,F,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Basic,College,jan/2011,Employed,M,Urban,Married,Personal L3,Offer1,Branch,Four-Door Car,Medsize
Oregon,Yes,Premium,High School or Below,jan/2011,Unemployed,M,Suburban,Married,Personal L3,Offer2,Web,SUV,Medsize
Oregon,No,Basic,Doctor,feb/2011,Employed,M,Urban,Married,Personal L3,Offer2,Web,Four-Door Car,Medsize
California,No,Basic,High School or Below,jan/2011,Unemployed,F,Suburban,Single,Personal L3,Offer2,Agent,Two-Door Car,Medsize
California,No,Basic,College,jan/2011,Employed,F,Suburban,Divorced,Personal L3,Offer3,Agent,Two-Door Car,Medsize
Washington,No,Premium,Doctor,feb/2011,Employed,M,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Basic,High School or Below,jan/2011,Unemployed,M,Suburban,Single,Personal L2,Offer3,Call Center,SUV,Medsize
Oregon,No,Premium,Bachelor,feb/2011,Employed,F,Suburban,Married,Corporate L2,Offer1,Web,Two-Door Car,Medsize
Oregon,No,Extended,College,jan/2011,Employed,F,Rural,Single,Corporate L3,Offer1,Agent,Two-Door Car,Medsize
Oregon,Yes,Extended,Bachelor,feb/2011,Employed,F,Suburban,Divorced,Personal L2,Offer1,Agent,Luxury SUV,Medsize
California,No,Basic,Bachelor,feb/2011,Unemployed,M,Suburban,Single,Corporate L3,Offer2,Branch,SUV,Medsize
Oregon,No,Basic,Master,feb/2011,Employed,F,Rural,Married,Personal L3,Offer2,Call Center,Four-Door Car,Large
Oregon,Yes,Extended,College,jan/2011,Employed,M,Rural,Married,Personal L3,Offer2,Agent,Sports Car,Medsize
Washington,No,Basic,High School or Below,jan/2011,Employed,F,Urban,Married,Personal L3,Offer3,Agent,SUV,Medsize
Oregon,No,Basic,Bachelor,feb/2011,Employed,F,Rural,Married,Personal L3,Offer1,Call Center,SUV,Medsize
Arizona,No,Basic,Bachelor,jan/2011,Employed,F,Rural,Married,Personal L1,Offer2,Web,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,jan/2011,Employed,M,Urban,Married,Personal L3,Offer3,Branch,Two-Door Car,Medsize
California,No,Basic,High School or Below,feb/2011,Employed,F,Rural,Married,Personal L1,Offer3,Call Center,SUV,Medsize
Oregon,Yes,Premium,Bachelor,jan/2011,Employed,F,Suburban,Single,Corporate L2,Offer2,Agent,Luxury Car,Medsize
Arizona,Yes,Basic,College,feb/2011,Employed,M,Suburban,Married,Personal L2,Offer2,Agent,Four-Door Car,Large
Oregon,No,Premium,High School or Below,feb/2011,Unemployed,M,Suburban,Single,Personal L3,Offer4,Agent,SUV,Medsize
California,No,Basic,Bachelor,jan/2011,Employed,M,Rural,Married,Personal L2,Offer4,Agent,Four-Door Car,Medsize
Washington,No,Extended,High School or Below,jan/2011,Employed,M,Suburban,Single,Corporate L2,Offer1,Call Center,Four-Door Car,Medsize
Oregon,Yes,Premium,College,feb/2011,Employed,M,Suburban,Married,Personal L1,Offer2,Branch,Four-Door Car,Medsize
California,No,Extended,College,feb/2011,Employed,M,Suburban,Married,Personal L3,Offer2,Branch,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,jan/2011,Unemployed,M,Suburban,Married,Corporate L2,Offer2,Agent,SUV,Medsize
Oregon,No,Extended,Bachelor,jan/2011,Employed,F,Urban,Married,Personal L2,Offer2,Web,Luxury SUV,Medsize
Oregon,Yes,Basic,Bachelor,jan/2011,Unemployed,M,Suburban,Married,Personal L2,Offer2,Agent,Two-Door Car,Medsize
Washington,No,Basic,Master,feb/2011,Employed,F,Urban,Divorced,Personal L1,Offer2,Call Center,Two-Door Car,Medsize
California,No,Extended,Doctor,jan/2011,Medical Leave,F,Urban,Married,Personal L2,Offer3,Agent,Four-Door Car,Medsize
California,Yes,Basic,Bachelor,feb/2011,Employed,M,Suburban,Single,Personal L3,Offer1,Call Center,SUV,Medsize
California,No,Extended,College,feb/2011,Employed,M,Suburban,Married,Special L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Basic,Bachelor,feb/2011,Employed,F,Rural,Married,Special L2,Offer1,Call Center,Two-Door Car,Medsize
Nevada,Yes,Basic,Master,jan/2011,Disabled,M,Suburban,Divorced,Personal L1,Offer1,Call Center,Four-Door Car,Small
Arizona,No,Basic,Bachelor,jan/2011,Employed,F,Urban,Married,Personal L2,Offer3,Agent,Two-Door Car,Medsize
California,No,Basic,Doctor,feb/2011,Unemployed,M,Urban,Married,Personal L2,Offer3,Branch,Four-Door Car,Medsize
California,Yes,Extended,College,jan/2011,Employed,M,Rural,Married,Personal L2,Offer2,Agent,Sports Car,Medsize
California,No,Basic,Bachelor,jan/2011,Disabled,F,Suburban,Married,Personal L2,Offer4,Branch,Four-Door Car,Small
Oregon,No,Extended,High School or Below,jan/2011,Employed,M,Suburban,Divorced,Personal L2,Offer1,Web,Luxury SUV,Medsize
